t_sec,HR,MAP,CO,SV,SVR,sympathetic,parasympathetic,contractility_factor,MAP_error,respiratory_rate,PaCO2,PaO2,arterial_pH,O2_saturation,glucose,lactate,HCO3,potassium,sodium,factor_VII,factor_II,PT_sec,aPTT_sec,fibrinogen,coagulation_state,cortisol,T3,insulin,glucagon,HPA_axis,vdp_x,vdp_v,vdp_omega,vdp_mu,chemical_drive,blood_volume_ml,blood_volume_ratio,GFR,urine_output,BUN,extra_volume_ml,inter_volume_ml,intra_volume_ml
1814.0,85.21259923436003,99.9996051887015,1702.1068269907355,19.974827203719464,1.4100033401344068,0.3000027636718341,0.6999980259569221,1.0,3.9481129850571505e-06,16.009816276601644,30.149826243279044,74.54361719590122,7.523805173394797,0.947116211822382,4.5,0.5,24.0,4.2,145.0,0.981081812450566,0.981081812450566,13.055748716216119,20.781386868910488,300.0,0.2080280080846168,5.866783367019228,100.14126197675091,12.0,80.0,0.05,1.7605965318905872,-1.2677773153840488,1.6959244349196525,1.2638561435132547,0.0,1714.5874224017346,0.996853152559148,63.029999999999994,0.5969571299999998,14.278914802475029,1479.06000000011,3167.3859357125853,7953.554064287276
1815.0,85.21265845664655,99.99960518815271,1702.1068269617788,19.974813320995516,1.4100033401390495,0.30000276367567547,0.6999980259541781,1.0,3.948118472862916e-06,17.24620780486872,27.58451529359212,77.75025588300987,7.562424629916881,0.9527209042830198,4.5,0.5,24.0,4.2,145.0,0.9810716188532664,0.9810716188532664,13.05631326623772,20.781809405678267,300.0,0.20806351476312243,5.866931311513002,100.14140547268498,12.0,80.0,0.05,-1.0109039142970577,-4.455269215584795,1.7411513716698443,1.3037781606585495,0.0,1714.5844376160856,0.9968514172186544,63.029999999999994,0.5969571299999998,14.278914802475029,1478.9933333334434,3167.4846147681224,7953.522051898405
1816.0,85.21271767901538,99.99960518760395,1702.1068269328218,19.974799438271564,1.4100033401436922,0.30000276367951684,0.6999980259514342,1.0,3.9481239605265725e-06,16.149895611126002,30.643562480953605,73.92644689880802,7.516750733998631,0.9459380455494835,4.5,0.5,24.0,4.2,145.0,0.9810614255108042,0.9810614255108042,13.056877797452085,20.78223221087655,300.0,0.20809898200948324,5.867079091706173,100.14154902887569,12.0,80.0,0.05,-1.6799535836651225,1.3852442637908249,1.7455814737163113,1.312791582353314,0.0,1714.5814528304365,0.9968496818781608,63.029999999999994,0.5969571299999998,14.278914802475029,1478.9266666667768,3167.5833018503326,7953.490031482864
1817.0,85.21277690146655,99.99960518705517,1702.1068269038656,19.974785555547616,1.410003340148335,0.3000027636833582,0.6999980259486904,1.0,3.948129448332338e-06,17.076599267109533,27.79817683809658,77.48317895237929,7.559073673632094,0.9522850217012575,4.5,0.5,24.000000000000004,4.2,145.0,0.9810512324231726,0.9810512324231726,13.057442309859843,20.78265528362099,300.0,0.20813440986749068,5.867226707781204,100.14169264530537,12.0,80.0,0.05,1.286588944870865,4.126194559210404,1.708368603970626,1.2734282284561413,0.0,1714.5784680447875,0.9968479465376672,63.029999999999994,0.5969571299999998,14.278914802475029,1478.8600000001102,3167.6819969609437,7953.45800303892
1818.0,85.21283612400006,99.99960518650637,1702.1068268749088,19.974771672823664,1.410003340152978,0.3000027636871996,0.6999980259459466,1.0,3.948134936280212e-06,16.331458785127733,31.036255447284926,73.43558069089386,7.511220669273093,0.9449761305921358,4.5,0.5,23.999999999999996,4.2,145.0,0.9810410395903654,0.9810410395903654,13.058006803461621,20.783078623030175,300.0,0.20816979838088773,5.867374159920359,100.14183632195629,12.0,80.0,0.05,1.5885811038196287,-1.5185369283137666,1.785019264213221,1.351710045129289,0.0,1714.5754832591385,0.9968462111971735,63.029999999999994,0.5969571299999998,14.278914802475029,1478.7933333334436,3167.780700101684,7953.425966564848
1819.0,85.21289534661585,99.99960518595762,1702.1068268459521,19.974757790099716,1.4100033401576206,0.30000276369104095,0.6999980259432026,1.0,3.94814042380176e-06,17.086601296024586,27.74685928854219,77.54732588932228,7.55987615523951,0.9523901969151617,4.5,0.5,24.0,4.2,145.0,0.9810308470123763,0.9810308470123763,13.058571278258052,20.783502228225625,300.0,0.20820514759336883,5.8675214483056966,100.14198005881079,12.0,80.0,0.05,-1.5547874121578755,-3.53489391055354,1.7002284419972014,1.268712510199949,0.0,1714.5724984734895,0.99684447585668,63.029999999999994,0.5969571299999998,14.278914802475029,1478.726666666777,3167.879411274282,7953.393922058915
1820.0,85.21295456931396,99.99960518540883,1702.1068268169954,19.974743907375768,1.4100033401622634,0.3000027636948823,0.6999980259404588,1.0,3.948145911749634e-06,16.3285757628064,31.766526133235622,72.5227423334555,7.501120262364841,0.94312640555226,4.5,0.5,23.999999999999996,4.2,145.0,0.9810206546891984,0.9810206546891984,13.059135734249752,20.783926098331786,300.0,0.20824045754857978,5.867668573119076,100.14212385585117,12.0,80.0,0.05,-1.488742904558311,1.632251537404465,1.7875555053750418,1.3519642866494839,0.0,1714.5695136878405,0.9968427405161864,63.029999999999994,0.5969571299999998,14.278914802475029,1478.6600000001104,3167.9781304804687,7953.361869519395
1821.0,85.2130137920944,99.99960518486004,1702.1068267880387,19.97473002465182,1.4100033401669059,0.3000027636987237,0.6999980259377149,1.0,3.9481513995554e-06,16.855428311120377,28.13570623876356,77.06126720154558,7.553832166071385,0.9515855278340767,4.5,0.5,24.0,4.2,145.0,0.9810104626208258,0.9810104626208258,13.059700171437358,20.78435023247601,300.0,0.20827572829011803,5.867815534542151,100.14226771305971,12.0,80.0,0.05,1.7309170168312613,2.8688210647209984,1.679333307323679,1.2467726131311854,0.0,1714.5665289021915,0.9968410051756927,63.029999999999994,0.5969571299999998,14.278914802475029,1478.5933333334438,3168.0768577219724,7953.329808944558
1822.0,85.21307301495717,99.99960518431129,1702.106826759082,19.97471614192787,1.4100033401715486,0.30000276370256507,0.699998025934971,1.0,3.948156887076948e-06,16.543652037085597,32.15310866995756,72.03951416255308,7.4958670186604275,0.942113958672306,4.5,0.5,24.000000000000004,4.2,145.0,0.9810002708072516,0.9810002708072516,13.06026458982149,20.784774629788572,300.0,0.20831095986153247,5.867962332756379,100.14241163041879,12.0,80.0,0.05,1.3821075839694736,-1.7829552336034458,1.8210130880011108,1.3835246112716977,0.0,1714.5635441165425,0.9968392698351991,63.029999999999994,0.5969571299999998,14.278914802475029,1478.5266666667771,3168.175593000523,7953.297740332673
1823.0,85.21313223790223,99.9996051837625,1702.1068267301248,19.974702259203923,1.4100033401761913,0.30000276370640644,0.6999980259322272,1.0,3.948162375024822e-06,16.85405038989139,28.11331550518529,77.08925561851841,7.554177920441894,0.9516323492986126,4.5,0.5,24.0,4.2,145.0,0.9809900792484704,0.9809900792484704,13.060828989402777,20.785199289402623,300.0,0.20834615230632375,5.868108967943009,100.14255560791068,12.0,80.0,0.05,-1.9016834021647127,-2.061600736408486,1.6729203092544203,1.2432437665030713,0.0,1714.5605593308935,0.9968375344947056,63.029999999999994,0.5969571299999998,14.278914802475029,1478.4600000001105,3168.274336317849,7953.265663682013
